Geneid	/home/lisa5634/GenomeAnalysis/analyses/06_expression/mapping_individual/Control_1_Aligned.sortedByCoord.out.bam	/home/lisa5634/GenomeAnalysis/analyses/06_expression/mapping_individual/Control_2_Aligned.sortedByCoord.out.bam	/home/lisa5634/GenomeAnalysis/analyses/06_expression/mapping_individual/Control_3_Aligned.sortedByCoord.out.bam	/home/lisa5634/GenomeAnalysis/analyses/06_expression/mapping_individual/Heat_treated_42_12h_1_Aligned.sortedByCoord.out.bam	/home/lisa5634/GenomeAnalysis/analyses/06_expression/mapping_individual/Heat_treated_42_12h_2_Aligned.sortedByCoord.out.bam	/home/lisa5634/GenomeAnalysis/analyses/06_expression/mapping_individual/Heat_treated_42_12h_3_Aligned.sortedByCoord.out.bam
g1	0	0	0	24	0	0
g2	110	86	152	128	45	0
g3	0	0	0	0	0	0
g4	9	0	26	12	2	0
g5	0	0	0	0	0	0
g6	50	141	122	93	244	287
g7	258	288	219	123	58	264
g8	5	1	1	6	0	4
g9	0	0	0	0	0	0
g10	0	0	0	0	0	0
g11	0	0	0	0	0	0
g12	2	2	3	0	0	0
g13	313	542	451	394	253	276
g14	19	10	20	10	10	12
g15	20	31	29	11	0	9
g16	6174	4906	4663	2613	3490	3461
g17	1692	2857	2395	1436	1463	2075
g18	1824	2577	3273	435	286	897
g19	676	1223	1111	219	75	384
g20	92	79	137	131	60	258
g21	838	483	457	579	308	1101
g22	1585	1898	1723	1447	1217	1916
g23	522	419	495	444	421	385
g24	639	143	180	1005	996	857
g25	4	2	10	332	99	129
g26	849	645	652	3777	1854	2072
g27	5651	799	1553	606	480	2425
g28	128	118	98	50	18	113
g29	6	2	8	23	37	32
g30	16	20	31	13	10	25
g31	2026	3181	2037	3099	2689	2169
g32	39	29	22	402	127	257
g33	869	699	664	371	173	749
g34	288	239	261	192	86	433
g35	431	369	323	84	41	223
g36	936	9886	6006	337	827	1587
g37	36	46	31	9	3	16
g38	0	0	0	0	0	0
g39	0	0	0	0	0	0
g40	0	0	0	0	0	0
g41	0	0	0	0	0	0
g42	0	0	0	0	0	0
g43	0	0	0	0	0	0
g44	0	0	0	0	0	0
g45	0	0	0	0	0	0
g46	0	0	0	0	0	0
g47	0	0	0	0	0	0
g48	0	0	0	0	0	0
g49	0	0	0	0	0	0
g50	0	0	0	0	0	0
g51	0	0	0	0	0	0
g52	0	0	0	0	0	0
g53	0	0	0	0	0	0
g54	0	0	0	0	0	0
g55	0	0	0	0	0	0
g56	0	0	0	0	0	0
g57	0	0	0	0	0	0
g58	0	0	0	0	0	0
g59	0	0	0	0	0	0
g60	0	0	0	0	0	0
g61	0	0	0	0	0	0
g62	0	0	0	0	0	0
g63	0	0	0	0	0	0
g64	0	0	0	0	0	0
g65	0	0	0	0	0	0
g66	0	0	0	0	0	0
g67	0	0	0	0	0	0
g68	0	0	0	0	0	0
g69	0	0	0	0	0	0
g70	0	0	0	0	0	0
g71	0	0	0	0	0	0
g72	0	0	0	0	0	0
g73	0	0	0	0	0	0
g74	0	0	0	0	0	0
g75	0	0	0	0	0	0
g76	0	0	0	0	0	0
g77	0	0	0	0	0	0
g78	0	0	0	0	0	0
g79	0	0	0	0	0	0
g80	0	0	0	0	0	0
g81	0	0	0	2	0	0
g82	0	0	0	0	0	0
g83	0	0	0	6	0	2
g84	0	0	0	0	0	0
g85	0	0	0	0	0	0
g86	0	0	0	0	0	0
g87	0	0	0	0	0	0
g88	0	0	0	0	0	0
g89	0	0	0	0	0	0
g90	0	0	0	0	0	0
g91	0	0	0	0	0	0
g92	0	0	0	0	0	0
g93	0	0	0	0	0	0
g94	0	0	0	0	0	0
g95	0	0	0	0	0	0
g96	0	0	0	1	0	0
g97	0	0	0	0	0	0
g98	1	0	0	0	0	0
g99	0	0	0	5	7	0
g100	868	1008	1156	402	188	646
g101	0	4	0	13	9	35
g102	782	894	846	474	324	674
g103	192	253	231	173	14	187
g104	0	0	0	0	0	0
g105	6	0	6	6	0	0
g106	0	0	0	0	0	0
g107	1059	1417	866	927	495	1259
g108	0	0	0	0	0	0
g109	1792	2859	3117	4484	2516	4164
g110	3841	3960	3653	2290	1733	2755
g111	0	2	0	4	0	0
g112	2019	2991	2510	6569	4990	3958
g113	14	12	6	190	47	111
g114	4	33	4	4	4	0
g115	2220	2247	2182	2865	1489	2396
g116	69	28	43	38	25	43
g117	3149	2466	1993	2359	1204	3038
g118	0	0	0	0	0	2
g119	0	0	0	0	0	0
g120	0	0	0	0	0	0
g121	0	0	0	0	0	0
g122	0	0	0	0	0	0
g123	0	0	0	0	0	0
g124	0	0	0	0	0	0
g125	0	0	0	0	0	0
g126	0	0	0	0	0	0
g127	351	1740	2397	1064	666	653
g128	0	0	0	0	0	0
g129	0	0	0	0	0	0
g130	0	0	0	0	0	0
g131	0	0	0	0	0	0
g132	5440	4709	3759	3277	1520	4121
g133	0	0	0	0	0	0
g134	2	0	0	0	0	0
g135	0	0	0	0	0	0
g136	0	0	0	2	0	0
g137	0	0	0	0	0	0
g138	1920	1222	1039	702	271	414
g139	898	701	520	519	192	234
g140	0	0	0	0	2	0
g141	29	18	0	26	0	16
g142	0	0	0	0	0	0
g143	0	0	0	0	0	0
g144	0	0	0	0	0	0
g145	92	168	129	242	165	139
g146	13550	4588	3074	8772	7564	5543
g147	191	39	28	107	46	30
g148	13134	2341	2741	6858	4351	2743
g149	1989	1268	1138	723	246	728
g150	0	0	0	0	0	0
g151	33	12	18	34	29	26
g152	3481	461	1013	3361	3628	1327
g153	0	0	0	0	0	0
g154	5	15	20	55	12	24
g155	55	40	28	27	8	29
g156	1397	2394	2179	974	635	357
g157	1292	1576	1340	900	506	1086
g158	2159	2573	3020	1070	1096	1040
g159	148	290	288	274	316	349
g160	1900	2124	1873	945	1495	1528
g161	1595	1759	1555	2643	1815	2730
g162	99	139	155	324	142	212
g163	157	158	203	219	100	259
g164	0	0	0	0	0	0
g165	0	14	0	8	0	0
g166	0	0	0	0	0	0
g167	0	0	0	0	0	0
g168	0	0	0	2	0	0
g169	4	17	25	0	0	4
g170	1174	1239	1175	1947	1286	1896
g171	296	223	407	900	849	580
g172	2216	2649	2312	5527	6200	3845
g173	394	492	492	982	743	882
g174	311	298	310	703	414	759
g175	2605	4598	5800	7497	5627	4973
g176	1	10	16	28	6	7
g177	0	1	4	0	0	0
g178	0	0	0	2	0	0
g179	47	406	255	1991	821	967
g180	1347	1584	1464	2093	1064	1729
g181	60	31	32	77	12	68
g182	3163	14951	14888	5080	3058	4160
g183	1381	1444	1868	2593	1721	2578
g184	2779	2564	2353	3131	1410	2547
g185	605	637	537	296	214	410
g186	75	61	66	55	50	79
g187	0	0	0	0	0	0
