Geneid,Annotation w/o NA,PFAM,Control,Control,Control,Heat,Heat,Heat
g1,g1,TamB,0,0,0,24,0,0
g2,Exostosin,Exostosin,0,0,0,0,0,0
g3,g3,-,9,0,26,12,2,0
g4,g4,DNA_methylase,0,0,0,0,0,0
g5,g5,Robl_LC7,0,0,0,0,0,0
g6,g6,RVT_1,0,0,0,0,0,0
g7,DNA_methylase,Exo_endo_phos,2,2,3,0,0,0
g8,Robl_LC7,DUF3522,19,10,20,10,10,12
g9,g9,PhyH,92,79,137,131,60,258
g10,g10,Pro_isomerase,16,20,31,13,10,25
g11,RVT_1,LEA_2,2026,3181,2037,3099,2689,2169
g12,g12,GDP_Man_Dehyd,288,239,261,192,86,433
g13,Exo_endo_phos,ANAPC4_WD40,0,0,0,0,0,0
g14,g14,COPIIcoated_ERV,0,0,0,0,0,0
g15,DUF3522,AAA,0,0,0,0,0,0
g16,PhyH,PPR,0,0,0,0,0,0
g17,Pro_isomerase,Methyltransf_21,0,0,0,0,0,0
g18,LEA_2,DNA_pol_A_exo1,0,0,0,0,0,0
g19,GDP_Man_Dehyd,ADH_N,0,0,0,0,0,0
g20,g20,DNA_methylase,0,0,0,0,0,0
g21,ANAPC4_WD40,Robl_LC7,0,0,0,0,0,0
g22,COPIIcoated_ERV,Cauli_VI,0,0,0,0,0,0
g23,AAA,G-patch,0,0,0,0,0,0
g24,PPR,Pet100,0,0,0,0,0,0
g25,Methyltransf_21,BBE,0,0,0,0,0,0
g26,DNA_pol_A_exo1,JmjC,0,0,0,0,0,0
g27,ADH_N,zf-Dof,0,0,0,0,0,0
g28,DNA_methylase,zf-Dof,0,0,0,0,0,0
g29,Robl_LC7,zf-Dof,0,0,0,0,0,0
g30,g30,zf-Dof,0,0,0,0,0,0
g31,g31,zf-Dof,0,0,0,0,0,0
g32,Cauli_VI,zf-Dof,0,0,0,0,0,0
g33,G-patch,zf-Dof,0,0,0,0,0,0
g34,g34,RVT_1,0,0,0,0,0,0
g35,Pet100,RVT_1,0,0,0,0,0,0
g36,BBE,-,0,0,0,0,0,0
g37,JmjC,FERM_M,0,0,0,0,0,0
g38,zf-Dof,rve,0,0,0,0,0,0
g39,g39,TPP_enzyme_C,0,0,0,0,0,0
g40,zf-Dof,AMP-binding,0,0,0,0,0,0
g41,g41,GSHPx,0,0,0,0,0,0
g42,g42,PCI,0,0,0,0,0,0
g43,zf-Dof,LRR_1,0,0,0,0,0,0
g44,zf-Dof,PX,0,0,0,0,0,0
g45,g45,-,0,0,0,0,0,0
g46,g46,RVP_2,0,0,0,0,0,0
g47,g47,G-patch,0,0,0,2,0,0
g48,g48,Glyco_trans_1_4,0,0,0,0,0,0
g49,zf-Dof,Bromodomain,0,0,0,6,0,2
g50,g50,2-Hacid_dh,0,0,0,0,0,0
g51,g51,Rcd1,0,0,0,0,0,0
g52,g52,RVT_1,0,0,0,0,0,0
g53,g53,Retrotrans_gag,0,0,0,0,0,0
g54,g54,PHD,0,0,0,0,0,0
