#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_9	2922085	588	N	N	1	*	10,11,-10,9,*
contig_92	2296776	610	N	N	1	*	89,92
contig_113	1854480	574	N	N	1	*	*,113
contig_26	1724286	590	N	N	1	*	126,129,-27,26,89
contig_38	1265633	598	N	N	1	*	135,-136,135,38,73,-75,-73
contig_128	1082798	590	N	N	1	*	128
contig_2	1045829	594	N	N	1	*	94,95,-94,2
contig_74	619105	598	N	N	1	*	74,78
contig_3	490403	568	N	N	1	*	3,124,-6,124,-6,124
contig_125	423241	504	N	N	1	*	125,126
contig_7	402449	578	N	N	1	*	7,*
contig_132	387661	624	N	N	1	*	132
contig_14	351124	546	N	N	1	*	14
contig_62	304909	572	N	N	1	*	62,64
contig_58	255401	590	N	N	1	*	58
contig_104	229580	582	N	N	1	*	104,107,-108,107,-108,107
contig_4	115341	570	N	N	1	*	4
contig_37	104708	589	Y	N	1	*	37
contig_133	98649	628	N	N	1	*	-98,99,-138,-98,99,-138,-98,133
contig_55	97053	297	N	N	1	*	126,129,55,*
contig_137	89469	624	N	N	1	*	137
contig_32	87042	275	N	N	1	*	*,32,-34
contig_79	64772	164	N	N	1	*	*,79,*
contig_88	59236	295	N	N	1	*	88
contig_16	54334	390	N	N	1	*	16
contig_100	51504	314	N	N	1	*	100,138,-99,98,138,-99,98,138
contig_126	49605	452	N	Y	1	*	126
contig_119	48291	448	N	Y	1	70	*,119,*
contig_1	38933	540	N	N	1	*	*,1,*
contig_110	38206	392	N	Y	1	62	*,110,*
contig_17	37215	456	N	Y	1	12	*,17,*
contig_25	35408	665	N	Y	2	18	*,25,*
contig_61	35135	230	N	N	1	*	-60,59,61,-59,60,59
contig_57	32769	192	N	N	1	*	57
contig_87	30114	184	N	N	1	*	87
contig_78	27645	484	N	Y	1	*	78
contig_8	27169	482	N	N	1	*	*,8,*
contig_97	25963	176	N	N	1	*	*,97,*
contig_46	25665	156	N	Y	1	32	*,46,*
contig_64	23981	520	N	Y	1	*	64
contig_65	21616	222	N	N	1	*	65,-70
contig_13	19761	394	N	Y	1	10	*,13,*
contig_68	18952	140	N	N	1	*	64,68
contig_114	18292	266	N	Y	1	66	*,114,*
contig_134	18182	307	N	Y	1	42	*,134,*
contig_52	17490	626	N	Y	1	38	*,52,*
contig_5	17379	471	N	N	2	*	*,5,*
contig_130	17035	200	N	N	200	*	*,130,*
contig_40	13481	368	N	Y	1	26	*,40,*
contig_23	13087	343	N	N	1	*	*,23,*
contig_33	11006	334	N	N	1	*	*,33,*
contig_85	9988	193	N	Y	1	54	*,85,*
contig_127	8953	240	N	Y	1	16	*,127,*
contig_117	5561	186	N	Y	1	68	*,117,*
contig_120	3705	164	N	N	164	*	*,120,*
contig_93	3705	122	N	N	8	*	*,93,*
contig_103	3045	132	N	Y	1	58	*,103,*
contig_15	2519	226	N	N	1	*	15
contig_96	2390	120	N	N	120	*	*,96,*
contig_30	642	114	N	Y	1	22	*,30,*
